"n_good","n_bad","spearman","kendall"
101,100,0.861224489795918,0.670204081632653
102,100,0.347707082833133,0.242448979591837
103,100,0.310060024009604,0.206530612244898
104,100,0.377382953181273,0.271836734693878
105,100,0.92,0.756734693877551
106,100,0.493493397358944,0.356734693877551
107,100,0.876686674669868,0.697959183673469
108,100,0.412725090036014,0.291428571428571
109,100,0.904729891956783,0.742040816326531
110,100,0.718991596638655,0.533061224489796
120,100,0.836542617046819,0.652244897959184
130,100,0.929891956782713,0.799183673469388
140,100,0.978007202881153,0.890612244897959
150,100,0.870444177671068,0.699591836734694
160,100,0.682689075630252,0.485714285714286
170,100,0.91452581032413,0.755102040816326
180,100,0.965906362545018,0.859591836734694
190,100,0.933061224489796,0.789387755102041
200,100,0.936998799519808,0.799183673469388
